ppd_id,fy,EEGroupID,TierID,source_ActCosts,notes_ActCosts,ContributionFY,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll
8,2001,0,0,,,2003,.1515,.039799999,.1117,.12,.15979999,,,,,,0,0,0,0,
8,2002,0,0,,,2004,.13699999,.038800001,.098199993,.12,.15880001,,,,,,0,0,0,0,
8,2003,0,0,,,2005,.1296,.039000001,.090600006,.13,.169,,,,,,0,0,0,0,
8,2004,0,0,,,2006,.1295,.039300002,.090200007,.14,.17930001,,,,,,0,0,0,0,
8,2005,0,0,,,2007,.1275,.039900001,.0876,.14,.17989999,,,,,,0,0,0,0,
8,2006,0,0,,,2008,.1288,.0416,.087200001,.14,.1816,,,,,,0,0,0,0,
8,2007,0,0,,,2009,.1277,.044399999,.083300002,.14,.18440001,,,,,,0,0,0,0,
8,2008,0,0,,,2010,.1287,.045400001,.083300002,.14,.18540001,,,,,,0,0,0,0,
8,2009,0,0,,,2011,.12899999,.0462,.082800001,.14,.18620001,,,,,,0,0,0,0,
8,2010,0,0,,,2012,.12890001,.046799999,.082100004,.14,.1868,,,,,,0,0,0,0,
8,2011,0,0,,,2013,.12180001,.050900001,.070900001,.14,.1909,,,,,,0,0,0,0,
8,2012,0,0,,,2014,.1173,.048,.069299996,.14,.18799999,,,,,,0,0,0,0,
8,2013,0,0,,,2015,.1175,.048600003,.068899997,.14,.1886,,,,,,0,0,0,0,
8,2014,0,0,,,2016,.1224,.053000003,.069399998,.14,.19299999,,,,,,0,0,0,0,
8,2015,0,0,,,2017,.125,.053600002,.068899997,.14,.1936,,,,,,0,0,0,0,
8,2016,0,0,,,2018,.1229,.054299999,.068599999,.14,.1943,,,,,,0,0,0,0,
